"Date","Price","Open","High","Low","Vol.","Change %"
"30-04-2007","4,934.46","4,934.46","4,934.46","4,934.46","","0.11%"
"27-04-2007","4,929.15","4,929.15","4,929.15","4,929.15","","-2.26%"
"26-04-2007","5,043.03","5,043.03","5,043.03","5,043.03","","0.25%"
"25-04-2007","5,030.30","5,030.30","5,030.30","5,030.30","","0.62%"
"24-04-2007","4,999.52","4,999.52","4,999.52","4,999.52","","1.39%"
"23-04-2007","4,931.08","4,931.08","4,931.08","4,931.08","","0.15%"
"20-04-2007","4,923.47","4,923.47","4,923.47","4,923.47","","2.18%"
"19-04-2007","4,818.61","4,818.61","4,818.61","4,818.61","","-0.35%"
"18-04-2007","4,835.42","4,835.42","4,835.42","4,835.42","","0.67%"
"17-04-2007","4,803.30","4,803.30","4,803.30","4,803.30","","-0.71%"
"16-04-2007","4,837.53","4,837.53","4,837.53","4,837.53","","2.45%"
"13-04-2007","4,721.82","4,721.82","4,721.82","4,721.82","","2.28%"
"12-04-2007","4,616.35","4,616.35","4,616.35","4,616.35","","-0.85%"
"11-04-2007","4,655.88","4,655.88","4,655.88","4,655.88","","0.38%"
"10-04-2007","4,638.41","4,638.41","4,638.41","4,638.41","","0.12%"
"09-04-2007","4,632.80","4,632.80","4,632.80","4,632.80","","2.44%"
"05-04-2007","4,522.51","4,522.51","4,522.51","4,522.51","","0.50%"
"04-04-2007","4,499.91","4,499.91","4,499.91","4,499.91","","1.16%"
"03-04-2007","4,448.12","4,448.12","4,448.12","4,448.12","","1.57%"
"02-04-2007","4,379.37","4,379.37","4,379.37","4,379.37","","-4.92%"
"30-03-2007","4,605.89","4,605.89","4,605.89","4,605.89","","0.62%"
"29-03-2007","4,577.63","4,577.63","4,577.63","4,577.63","","0.98%"
"28-03-2007","4,533.03","4,533.03","4,533.03","4,533.03","","-1.53%"
"26-03-2007","4,603.34","4,603.34","4,603.34","4,603.34","","-1.03%"
"23-03-2007","4,651.43","4,651.43","4,651.43","4,651.43","","-0.38%"
"22-03-2007","4,668.95","4,668.95","4,668.95","4,668.95","","2.96%"
"21-03-2007","4,534.62","4,534.62","4,534.62","4,534.62","","1.89%"
"20-03-2007","4,450.55","4,450.55","4,450.55","4,450.55","","0.51%"
"19-03-2007","4,428.04","4,428.04","4,428.04","4,428.04","","1.95%"
"16-03-2007","4,343.36","4,343.36","4,343.36","4,343.36","","-0.94%"
"15-03-2007","4,384.74","4,384.74","4,384.74","4,384.74","","0.09%"
"14-03-2007","4,380.97","4,380.97","4,380.97","4,380.97","","-3.41%"
"13-03-2007","4,535.63","4,535.63","4,535.63","4,535.63","","0.96%"
"12-03-2007","4,492.39","4,492.39","4,492.39","4,492.39","","0.45%"
"09-03-2007","4,472.42","4,472.42","4,472.42","4,472.42","","-1.15%"
"08-03-2007","4,524.50","4,524.50","4,524.50","4,524.50","","3.72%"
"07-03-2007","4,362.36","4,362.36","4,362.36","4,362.36","","-0.79%"
"06-03-2007","4,396.90","4,396.90","4,396.90","4,396.90","","2.21%"
"05-03-2007","4,301.70","4,301.70","4,301.70","4,301.70","","-4.03%"
"02-03-2007","4,482.42","4,482.42","4,482.42","4,482.42","","-2.22%"
"01-03-2007","4,583.99","4,583.99","4,583.99","4,583.99","","1.76%"
"28-02-2007","4,504.73","4,504.73","4,504.73","4,504.73","","-3.82%"
"27-02-2007","4,683.46","4,683.46","4,683.46","4,683.46","","-1.22%"
"26-02-2007","4,741.32","4,741.32","4,741.32","4,741.32","","0.08%"
